date,value,name,color
2017-02-04,0.033,Drahoš,#009bde
2017-02-05,0.021,Drahoš,#009bde
2017-02-06,0.038,Drahoš,#009bde
2017-02-07,0.038,Drahoš,#009bde
2017-02-08,0.038,Drahoš,#009bde
2017-02-09,0.041,Drahoš,#009bde
2017-02-10,0.041,Drahoš,#009bde
2017-02-11,0.046,Drahoš,#009bde
2017-02-12,0.046,Drahoš,#009bde
2017-02-13,0.047,Drahoš,#009bde
2017-02-14,0.046,Drahoš,#009bde
2017-02-15,0.058,Drahoš,#009bde
2017-02-16,0.063,Drahoš,#009bde
2017-02-17,0.066,Drahoš,#009bde
2017-02-18,0.066,Drahoš,#009bde
2017-02-19,0.066,Drahoš,#009bde
2017-02-20,0.035,Drahoš,#009bde
2017-02-21,0.088,Drahoš,#009bde
2017-02-22,0.088,Drahoš,#009bde
2017-02-23,0.093,Drahoš,#009bde
2017-02-24,0.098,Drahoš,#009bde
2017-02-25,0.106,Drahoš,#009bde
2017-02-26,0.113,Drahoš,#009bde
2017-02-27,0.113,Drahoš,#009bde
2017-02-28,0.11,Drahoš,#009bde
2017-03-01,0.11,Drahoš,#009bde
2017-03-02,0.111,Drahoš,#009bde
2017-03-03,0.111,Drahoš,#009bde
2017-03-04,0.111,Drahoš,#009bde
2017-03-05,0.113,Drahoš,#009bde
2017-03-06,0.113,Drahoš,#009bde
2017-03-07,0.113,Drahoš,#009bde
2017-03-08,0.112,Drahoš,#009bde
2017-03-09,0.112,Drahoš,#009bde
2017-03-10,0.111,Drahoš,#009bde
2017-03-11,0.111,Drahoš,#009bde
2017-03-12,0.111,Drahoš,#009bde
2017-03-13,0.111,Drahoš,#009bde
2017-03-14,0.123,Drahoš,#009bde
2017-03-15,0.111,Drahoš,#009bde
2017-03-16,0.11,Drahoš,#009bde
2017-03-17,0.119,Drahoš,#009bde
2017-03-18,0.119,Drahoš,#009bde
2017-03-19,0.119,Drahoš,#009bde
2017-03-20,0.131,Drahoš,#009bde
2017-03-21,0.132,Drahoš,#009bde
